content,topic
"Калачинский городской суд Омской области вынес приговор 45-летней местной жительнице за получение пособий и материнского капитала на несуществующего ребенка. Об этом «Ленте.ру» сообщили в региональной прокуратуре.
С учетом смягчающих обстоятельств в виде активного содействия следствию женщина получила условное наказание сроком три года и десять дней. Также она в полном объеме должна возместить государству причиненный ущерб.
Женщину признали виновной в совершении преступления, предусмотренного статьей 159.2 УК РФ («Мошенничество при получении социальных выплат»). Уголовное дело в отношении нее было возбуждено по результатам прокурорской проверки.
Суд установил, что летом 2021 года фигурантка дела предоставила поддельное свидетельство о рождении второго ребенка, на основании которого получила материнский капитал. Она приобрела жилое помещение по договору целевого займа. Кроме того, женщина незаконно получала пособия, положенные при рождении и уходе за ребенком, в том числе как одинокой матери.
В результате федеральному бюджету был причинен материальный ущерб на общую сумму почти 800 тысяч рублей. Вину в совершении преступления она полностью признала.
В ноябре 2023 года Верх-Исетский районный суд Екатеринбурга вынес приговор женщине, которая несколько лет получала социальные выплаты на несуществующего ребенка и похитила таким образом из бюджета 622 тысячи рублей. Она была признана виновной в мошенничестве и оштрафована на 100 тысяч рублей.",2
"Следователи возбудили уголовное дело по части 1 статьи 105 УК РФ по факту обнаружения тела 17-летней девушки около мусорных баков в Воронеже. Об этом «Ленте.ру» сообщили в региональном управлении Следственного комитета России.
По данным ведомства, несовершеннолетняя без признаков жизни была найдена ночью в понедельник, 22 января, возле мусорных баков в Ленинском районе города. Сейчас сотрудники правоохранительных органов проводят ряд экспертиз и допросов свидетелей, направленных на поиск преступника.
Как уточняет Telegram-канал Shot, потерпевшая девушка — уроженка Новомосковска Тульской области. По предварительным данным, с ней расправились на съемной квартире в одном из домов по улице Моисеева в Воронеже.
Ранее 24-летнего младшего сержанта полиции из Петербурга нашли с огнестрельным ранением в отделе вневедомственной охраны.",2
"В Краснодаре суд приговорил к семи годам лишения свободы 35-летнего мужчину, отправлявшего интимные видео 12-летней девочке. Об этом «Ленте.ру» сообщили в пресс-службе судов Краснодарского края.
Мужчина признан виновным по части 2 статьи 135 («Развратные действия»), пункту «б» части 3 статьи 242 («Незаконные изготовление и оборот порнографических материалов или предметов») и пунктам «а», «г» части 2 статьи 242.1 («Изготовление и оборот материалов или предметов с порнографическими изображениями несовершеннолетних») УК РФ. Он будет отбывать наказание в колонии строгого режима.
По данным ведомства, в конце 2022 года фигурант в интернете познакомился с девочкой. Он знал ее возраст. Однако осужденный общался с ней на откровенные темы, отправлял интимные видео, в том числе с изображением самого себя. Он предлагал потерпевшей встретиться, намекая на сексуальные отношения. Но школьница рассказала обо всем родителям, а те обратились в полицию.",2
"Защита Елены Блиновской сообщила о частичном признании блогером вины в неуплате налогов по счету, выставленному Федеральной налоговой службой (ФНС). Об этом сообщает «КП» со ссылкой на адвоката Наталию Сальникову.
По словам защиты, реальный долг по налогам блогерши составляет около 350 миллионов рублей. Сейчас Блиновская пытается оспорить расчет ФНС в арбитражном суде. По версии адвоката, если сумма долга будет уменьшена, общая задолженность создательницы марафонов также сократится.
Сейчас задолженность Блиновской перед ФНС составляет почти 1,42 миллиарда рублей, из которых 918 миллионов — основной долг. Ежедневно к этой сумме прибавляется по 500 тысяч рублей.
Ранее блогершу отправили в СИЗО до 26 апреля. Следователи ходатайствовали об ужесточении в отношении нее меры пресечения из-за частых нарушений условий домашнего ареста.",2
"В Санкт-Петербурге вор вынес из магазина 26 упаковок сыра и банку красной икры. Об этом «Ленте.ру» сообщили в Росгвардии.
Кража была совершена утром 21 января. Сотрудники гипермаркета на Богатырском проспекте заметили мужчину, который украл продукты питания, и нажали на тревожную кнопку.
Прибывший наряд вневедомственной охраны Росгвардии задержал подозреваемого и доставил его в отдел полиции. Задержанным оказался 36-летний безработный. Он уже был ранее судим за совершение преступлений.
У него изъяли краденую икру и пять килограммов сыра. В отношении него возбуждено уголовное дело.
20 января сообщалось, что вагон с компьютерной техникой для космодрома «Восточный» обокрали по пути следования. Неизвестные похитили системные блоки, мониторы и прочие компьютерные принадлежности после того, как вагон отправился из Омска 16 декабря. Груз приехал на космодром под новогодние праздники, поэтому до начала января просто стоял на путях, ожидая разгрузки. Когда сотрудники «Восточного» начали проверять прибывшую технику, то не досчитались товаров на сумму более 250 тысяч рублей.",2
"Оглашение приговора одному из фигурантов дела пенсионера МВД Юрия Новикова, заказавшего расправу над женой, состоится 1 февраля в Москве. Об этом сообщает РЕН ТВ.
По информации издания, в назначенную дату приговор огласят Александру Кадомскому, который выступил в роли посредника между Новиковым и киллером. Мужчина получил от бывшего силовика один миллион рублей, половину из которого пообещал передать исполнителю за выполненную «работу».
Женщину с огнестрельным ранением головы обнаружили вечером 5 сентября 2022 года у деревни Троица в Москве. Спустя десять дней полиция задержали ее мужа — бывшего полицейского и пенсионера МВД Юрия Новикова. Во время разговора с сотрудниками правоохранительных органов мужчина признался в организации расправы над женой. Его арестовали.",2
"В Новосибирске к семи годам колонии строгого режима приговорили уроженца Таджикистана за покушение на жизнь собственной дочери. Об этом в понедельник, 22 января, в своем Telegram-канале сообщает региональное управление Следственного комитета России (СКР).
Как установил суд, 8 мая 2023 года осужденный напал на дочь в одной и квартир Кировского района города, сильно избил ее и принялся душить. Как сообщает в своем Telegram-канале прокуратура региона, на крики подростка прибежала соседка, которая попыталась спасти ее от агрессивного отца. Но тот не позволил ребенку убежать из квартиры и закрыл входную дверь. Тогда школьница сбежала на балкон и перелезла через парапет, надеясь, что это остановит отца. Однако мигрант схватил ее за руки, вытянул перед собой и сбросил с балкона.
Позже он собирался довершить расправу, но не успел, на место прибыли полицейские, которые не позволили добить девушку. Потерпевшей была оказана медицинская помощь. На судебном заседании подсудимый свою вину не признал.",2
"В Москве 30-летний мужчина домогался 11-летней девочки. Об этом «Ленте.ру» сообщили в столичном управлении Следственного комитета России (СКР).
По данным ведомства, 20 января фигурант на автобусной остановке на 1-й Владимирской улице познакомился со школьницей. Он обманом завел ее за помещения магазина и надругался над ней. Затем он продолжил преступление в подъезде жилого дома. Отмечается, что мужчина снимал все на камеру телефона.
Потерпевшая вернулась домой и рассказала о произошедшем родителям, те обратились в полицию. Обвиняемого вскоре нашли и задержали. Возбуждено дело по части 4 статьи 131 («Насильственные действия сексуального характера») УК РФ. Мужчина уже признал вину и раскаялся. Сейчас следствие ходатайствует о его аресте.",2
"Блогера Елену Блиновскую везут в изолятор №6 «Печатники». Об этом сообщает Telegram-канал Shot со ссылкой на источник.
Особенность этого СИЗО в том, что арестантки там сами поддерживают чистоту в порядке дежурства. Это значит, что Блиновской придется мыть полы в камере, туалет и питаться наравне с другими. Руководство изолятора уже предупредили, что блогер не должна избегать работы.
Отмечается, что для Блиновской не стали выделять спецтранспорт: она поедет в автозаке, который будет собирать по Москве других арестованных женщин.
Ранее стало известно, что Замоскворецкий суд Москвы поместил блогера в СИЗО до 26 апреля. По окончании заседания муж передал Блиновской сумку с теплыми вещами, и та расплакалась.",2
"Глава Следственного комитета (СК) России Александр Бастрыкин поручил провести проверку по факту жестокого обращения с животным на железной дороге в Кирове. Об этом «Ленте.ру» сообщили в пресс-службе ведомства.
Речь идет об инциденте с проводницей, выбросившей кота Твикса из поезда дальнего следования на остановке в Кирове. Замерзшее домашнее животное было обнаружено 20 января. В ведомстве уточнили, что питомец находился в поезде легально, а его хозяева уже обратились в правоохранительные органы, где получили отказ в возбуждении уголовного дела.
О том, что проводница поезда, следовавшего из Екатеринбурга в Санкт-Петербург, выбросила кота одного из пассажиров на остановке в сильный мороз, стало известно 18 января. Замерзшего Твикса без признаков жизни обнаружили у железнодорожного переезда спустя несколько дней, рядом с ним было много следов крупной собаки.
Ранее сообщалось, что петицию с требованием об увольнении проводницы, которая выбросила питомца на холод, подписали более 50 тысяч человек.",2
"Появились кадры задержания блогера Елены Блиновской в зале суда. Запись «Ленте.ру» предоставили в судах общей юрисдикции города Москвы.
На кадрах полицейские надевают наручники на Блиновскую и уводят.
Ранее стало известно, что Замоскворецкий суд Москвы поместил блогера в СИЗО до 26 апреля. По окончании заседания муж передал Блиновской сумку с теплыми вещами, и та расплакалась.
Следственный комитет России ходатайствовал об ужесточении Блиновской меры пресечения, так как она часто нарушала условия домашнего ареста. Свидетель в суде рассказал, что она пригласила на предновогоднюю вечеринку свидетеля по ее делу.",2
